id|pmk|ano_do_artigo|titulo_do_artigo|issn
35|26|2018|almondegas de pirarucu e tilapia nilotica: caracterizacao e aplicacao na merenda escolar|23578068
36|26|2018|almondegas de pirarucu e tilapia nilotica: caracterizacao e aplicacao na merenda escolar|23578068
37|31|2012|alteracoes teciduais em intestino de pirarucu arapaima gigas(schinz, 1822), infectado pelo nematoda spirocamallanus inopinatus (travassos, 1929)|19951043
38|30|2012|alteracoes teciduais em intestino de pirarucu arapaima gigas(schinz, 1822), infectado pelo nematoda spirocamallanus inopinatus (travassos, 1929)|22186425
39|27|2012|alteracoes teciduais em intestino de pirarucu arapaima gigas(schinz, 1822), infectado pelo nematoda spirocamallanus inopinatus (travassos, 1929)|19951043
40|28|2012|alteracoes teciduais em intestino de pirarucu arapaima gigas(schinz, 1822), infectado pelo nematoda spirocamallanus inopinatus (travassos, 1929)|19951043
41|29|2012|alteracoes teciduais em intestino de pirarucu arapaima gigas(schinz, 1822), infectado pelo nematoda spirocamallanus inopinatus (travassos, 1929)|19951043
42|32|2014|amazonian white and black waters influences on the hematological and biochemical plasma features of arapaima gigas (osteoglossiforme)|19347391
43|32|2014|amazonian white and black waters influences on the hematological and biochemical plasma features of arapaima gigas (osteoglossiforme)|19347405
44|33|2014|amazonian white and black waters influences on the hematological and biochemical plasma features of arapaima gigas (osteoglossiforme)|19347391
45|36|2014|analise do bem-estar dos reprodutores de arapaima gigas (schinz, 1822) atraves da relacao peso-comprimento, fator de condicao e producao de alevinos|19813163
46|34|2014|analise do bem-estar dos reprodutores de arapaima gigas (schinz, 1822) atraves da relacao peso-comprimento, fator de condicao e producao de alevinos|19813163
47|35|2014|analise do bem-estar dos reprodutores de arapaima gigas (schinz, 1822) atraves da relacao peso-comprimento, fator de condicao e producao de alevinos|19813163
48|35|2014|analise do bem-estar dos reprodutores de arapaima gigas (schinz, 1822) atraves da relacao peso-comprimento, fator de condicao e producao de alevinos|15163725
49|35|2014|analise do bem-estar dos reprodutores de arapaima gigas (schinz, 1822) atraves da relacao peso-comprimento, fator de condicao e producao de alevinos|19813163
50|37|2019|analise econamica da farinha de silagem acida de resaduos de pirarucu em raaaes de poedeiras comerciais leves|21769168
51|38|2019|analise econamica da farinha de silagem acida de resaduos de pirarucu em raaaes de poedeiras comerciais leves|19819951
52|38|2019|analise econamica da farinha de silagem acida de resaduos de pirarucu em raaaes de poedeiras comerciais leves|19819951
53|38|2019|analise econamica da farinha de silagem acida de resaduos de pirarucu em raaaes de poedeiras comerciais leves|21769168
54|39|2020|analises da composicao proteica e lipidica da carne de pirarucu (arapaima gigas) submetido a dois tipos de dietas|25953125
55|39|2020|analises da composicao proteica e lipidica da carne de pirarucu (arapaima gigas) submetido a dois tipos de dietas|25953125
56|40|2008|analises microbiologicas da carne de pirarucu (arapaima gigas) seco/salgado comercializado em feiras e supermercados de belem e elaboracao de produto similar em laboratorio visando estabelecer a vida-de-prateleira.|1019171
57|41|2008|analises microbiologicas da carne de pirarucu (arapaima gigas) seco/salgado comercializado em feiras e supermercados de belem e elaboracao de produto similar em laboratorio visando estabelecer a vida-de-prateleira.|1019171
58|42|2008|analises microbiologicas da carne de pirarucu (arapaima gigas) seco/salgado comercializado em feiras e supermercados de belem e elaboracao de produto similar em laboratorio visando estabelecer a vida-de-prateleira.|1019171
59|43|2012|analysis of differential gene expression of the amazonian fish arapaima gigas using gene ontology tool|22382984
60|44|2008|anatomical behavior of the celiacomesenteric artery of pirarucu|7179367
61|44|2008|anatomical behavior of the celiacomesenteric artery of pirarucu|7179367
62|45|2007|anatomical behavior of the celiacomesenteric artery of pirarucu arapaima gigas cuvier, 1817 (osteoglossiforme, arapaimidae)|7179367
63|45|2007|anatomical behavior of the celiacomesenteric artery of pirarucu arapaima gigas cuvier, 1817 (osteoglossiforme, arapaimidae)|7179502
64|45|2007|anatomical behavior of the celiacomesenteric artery of pirarucu arapaima gigas cuvier, 1817 (osteoglossiforme, arapaimidae)|7179502
65|45|2007|anatomical behavior of the celiacomesenteric artery of pirarucu arapaima gigas cuvier, 1817 (osteoglossiforme, arapaimidae)|7179367
66|45|2007|anatomical behavior of the celiacomesenteric artery of pirarucu arapaima gigas cuvier, 1817 (osteoglossiforme, arapaimidae)|7179502
